,mc2,r_sqr,intercept,coef,t_oos,p_oos
0,Core Treats,0.03424592524012893,-0.27066996524712367,-0.27066996524712367,-1.8830904354781555,0.06259426597180637
1,Core Food,0.00910480428181415,-0.2564468590193243,-0.2564468590193243,-0.9585647314143281,0.3400899152764014
2,Prescription Food & Treats,0.07137305787935055,1.3180182334635473,1.3180182334635473,2.7723401341482186,0.006639044088187665
3,Premium,0.13457234790199624,0.548602354426857,0.548602354426857,3.943324626733487,0.00014922701954217402
4,Health & Wellness,0.057295087435548675,0.330909447248918,0.330909447248918,2.465305860622951,0.015393048108084189
5,Toys,0.02840677993121077,0.44193891648864225,0.44193891648864225,1.7098923354733746,0.09038698168028085
6,Grooming & Waste Management,0.31997577150803813,0.8393644757327585,0.8393644757327585,6.859561501315289,5.832931012929465e-10
7,Technology,0.0061458893030975625,-0.01598243587234187,-0.01598243587234187,-0.7863774434851765,0.43350594034359924
8,Litter,0.016258904118113815,0.18083000943601385,0.18083000943601385,1.285598117274639,0.20155254982262383
9,Over the Counter,0.2770036757576878,-0.20681420114861582,-0.20681420114861582,-6.189772987359477,1.3363659670712607e-08
10,Apparel & People Products,0.5920351933944122,0.874883076799866,0.874883076799866,12.046542358058774,3.490828516460357e-21
11,Flea & Tick,0.020564112354640507,-0.17510083201769205,-0.17510083201769205,-1.4489953023995121,0.1504675391272698
12,Fish,0.017452540015641005,0.06027767083522462,0.06027767083522462,1.3327618497551768,0.18563870362923207
13,Small Pet,0.01129786233824337,0.1369929779192478,0.1369929779192478,1.0689697183977052,0.28765690913416947
14,Wild Bird,0.00852019902493173,-0.1531020622831758,-0.1531020622831758,-0.9270068308837848,0.35615495068134406
15,Equine,0.02856647075965235,0.1885385674629852,0.1885385674629852,1.7148326739413442,0.0894733384912497
16,Personalized,0.0055209269623475166,-0.2140681422009133,-0.2140681422009133,-0.552572822969998,0.5827947977132808
